Method,MAE,MAPE (%),RMSE,R²,Median AE,Max AE
linear,6.252264309764313,15.409966897393879,16.21969902673774,0.9748160452891454,0.04666666666666658,100.0
polynomial,18.32295148454239,30.370925022405586,38.390692616493546,0.8589119463941455,3.1300000000000003,183.33333333333331
adaptive,19.04452861952862,32.3644322389142,38.271626268066804,0.8597857409483967,3.130000000000001,200.0
step,26.94833333333333,40.780498958261326,48.58204678373452,0.7740616446601563,5.0,200.0
constant,31.868712121212116,50.832228354938295,62.68151360128826,0.6238879069442067,5.0,250.0
